aId,rID,keyword1,keyword2,rCorr
N6C2,24,账,小偷,0
N6C2,25,小偷,孩子,1
N6C2,26,孩子,正当手段,0
N6C2,27,正当手段,里维兹先生,0
N6C2,28,里维兹先生,午餐,0
N6C2,29,午餐,20块钱,1
N6C3,1,玛格丽特,小镇,0
N6C3,2,玛格丽特,家庭教育,1
N6C3,3,玛格丽特,力争一流,1
N6C3,4,小镇,家庭教育,0
N6C3,5,小镇,父亲,0
N6C3,6,家庭教育, 父亲,1
N6C3,7,家庭教育,力争一流,0
N6C3,8,父亲,力争一流,1
N6C3,9,力争一流,永远坐在前排,1
N6C3,10,不能落后,决心,0
N6C3,11,不能落后,必胜的信念,0
N6C3,12,决心,信心,1
N6C3,13,决心, 必胜的信念1,1
N6C3,14,学习,拼搏精神,0
N6C3,15,学习,拉丁文,0
N6C3,16,拼搏精神,永远一往无前,1
N6C3,17,拼搏精神,拉丁文,0
N6C3,18,永远一往无前,成绩名列前茅,0
N6C3,19,教育,学校活动,0
N6C3,20,演讲,学校活动,1
N6C3,21,学校活动,学生,1
N6C3,22,优秀,佼佼者,1
N6C3,23,佼佼者,校长,0
N6C3,24,政坛,保守党领袖,0
N6C3,25,政坛 ,铁娘子,0
N6C3,26,保守党领袖,女首相,1
N6C3,27,女首相, 铁娘子,1
N6C3,28,人生态度,理想与行动,0
